,Cont,Pick,Type,Mass,Cont Type,HI
46,0.2510477677990368,1.0,PH,1 Tomato,Uniform,143602.0
47,0.0,1.0,PH,1 Tomato,Uniform,143602.0
48,0.159156579461148,1.0,PH,1 Tomato,Uniform,143602.0
49,0.0,1.0,PH,1 Tomato,Uniform,143602.0
0,0.5156579461147989,2.0,PH,1 Tomato,Uniform,143602.0
1,0.517662371469478,2.0,PH,1 Tomato,Uniform,143602.0
2,0.0,2.0,PH,1 Tomato,Uniform,143602.0
3,0.0,2.0,PH,1 Tomato,Uniform,143602.0
4,0.11370558375634518,2.0,PH,1 Tomato,Uniform,143602.0
5,0.0,2.0,PH,1 Tomato,Uniform,143602.0
6,0.028361317193804504,2.0,PH,1 Tomato,Uniform,143602.0
7,0.0,2.0,PH,1 Tomato,Uniform,143602.0
8,0.0,2.0,PH,1 Tomato,Uniform,143602.0
9,0.08780424313419237,2.0,PH,1 Tomato,Uniform,143602.0
10,0.0,2.0,PH,1 Tomato,Uniform,143602.0
11,0.18117922686450605,2.0,PH,1 Tomato,Uniform,143602.0
12,0.0,2.0,PH,1 Tomato,Uniform,143602.0
13,0.0,2.0,PH,1 Tomato,Uniform,143602.0
14,0.02853052193153716,2.0,PH,1 Tomato,Uniform,143602.0
15,0.4319796954314721,2.0,PH,1 Tomato,Uniform,143602.0
16,0.0,2.0,PH,1 Tomato,Uniform,143602.0
17,0.0,2.0,PH,1 Tomato,Uniform,143602.0
18,0.11522842639593908,2.0,PH,1 Tomato,Uniform,143602.0
19,0.0,2.0,PH,1 Tomato,Uniform,143602.0
20,0.03601457763894312,2.0,PH,1 Tomato,Uniform,143602.0
21,0.0,2.0,PH,1 Tomato,Uniform,143602.0
22,0.22864766367304437,2.0,PH,1 Tomato,Uniform,143602.0
23,0.0,2.0,PH,1 Tomato,Uniform,143602.0
24,0.11306781205258362,2.0,PH,1 Tomato,Uniform,143602.0
25,0.006325654041390082,2.0,PH,1 Tomato,Uniform,143602.0
26,0.22909019914096057,2.0,PH,1 Tomato,Uniform,143602.0
27,0.028738773916438892,2.0,PH,1 Tomato,Uniform,143602.0
28,0.0,2.0,PH,1 Tomato,Uniform,143602.0
29,0.0,2.0,PH,1 Tomato,Uniform,143602.0
30,0.0,2.0,PH,1 Tomato,Uniform,143602.0
31,0.0017831576207210725,2.0,PH,1 Tomato,Uniform,143602.0
32,0.0,2.0,PH,1 Tomato,Uniform,143602.0
33,0.0,2.0,PH,1 Tomato,Uniform,143602.0
34,0.02888194715605883,2.0,PH,1 Tomato,Uniform,143602.0
35,0.0,2.0,PH,1 Tomato,Uniform,143602.0
36,0.28318365221918523,2.0,PH,1 Tomato,Uniform,143602.0
37,0.11499414291292463,2.0,PH,1 Tomato,Uniform,143602.0
38,0.0029675907848496683,2.0,PH,1 Tomato,Uniform,143602.0
39,0.4306000260314981,2.0,PH,1 Tomato,Uniform,143602.0
40,0.3510868150462059,2.0,PH,1 Tomato,Uniform,143602.0
41,0.01354939476766888,2.0,PH,1 Tomato,Uniform,143602.0
42,0.28582584927762594,2.0,PH,1 Tomato,Uniform,143602.0
43,0.0,2.0,PH,1 Tomato,Uniform,143602.0
44,0.010165300013015749,2.0,PH,1 Tomato,Uniform,143602.0
45,0.0,2.0,PH,1 Tomato,Uniform,143602.0
46,0.0,2.0,PH,1 Tomato,Uniform,143602.0
47,0.35294806716126514,2.0,PH,1 Tomato,Uniform,143602.0
48,0.004932968892359755,2.0,PH,1 Tomato,Uniform,143602.0
49,0.18114017961733697,2.0,PH,1 Tomato,Uniform,143602.0
0,0.0,3.0,PH,1 Tomato,Uniform,143602.0
1,0.01993986802202236,3.0,PH,1 Tomato,Uniform,143602.0
2,0.04347203602712447,3.0,PH,1 Tomato,Uniform,143602.0
3,0.26796475381031093,3.0,PH,1 Tomato,Uniform,143602.0
4,0.0036183311423774256,3.0,PH,1 Tomato,Uniform,143602.0
5,0.13443792219286485,3.0,PH,1 Tomato,Uniform,143602.0
6,0.0008199815178768986,3.0,PH,1 Tomato,Uniform,143602.0
7,0.04187111973031719,3.0,PH,1 Tomato,Uniform,143602.0
8,0.580000260311593,3.0,PH,1 Tomato,Uniform,143602.0
9,0.002238679699600422,3.0,PH,1 Tomato,Uniform,143602.0
10,0.0,3.0,PH,1 Tomato,Uniform,143602.0
11,0.0050370293241009485,3.0,PH,1 Tomato,Uniform,143602.0
12,0.6756127084119691,3.0,PH,1 Tomato,Uniform,143602.0
13,0.0,3.0,PH,1 Tomato,Uniform,143602.0
14,0.0,3.0,PH,1 Tomato,Uniform,143602.0
15,0.0,3.0,PH,1 Tomato,Uniform,143602.0
16,0.7664224076219235,3.0,PH,1 Tomato,Uniform,143602.0
17,0.05422290481706603,3.0,PH,1 Tomato,Uniform,143602.0
18,0.0033580195494006325,3.0,PH,1 Tomato,Uniform,143602.0
19,0.3289297288854759,3.0,PH,1 Tomato,Uniform,143602.0
20,0.0009501373143652953,3.0,PH,1 Tomato,Uniform,143602.0
